vehicle_id,manufacturer,model,vehicle_year,vehicle_type,fuel_type,transmission,engine_cc,mileage_kmpl,vehicle_price,units_sold,service_cost,manufacturing_region
VH02300,Mercedes-Benz,S-Class,2009,Van,Hybrid,CVT,2333.0,30.71,57375.04,4205,3193.1,Europe
VH03772,Nissan,Altima,2005,SUV,Petrol,DCT,3522.0,8.16,26908.48,3563,1378.76,Africa
VH00034,Volkswagen,ID.4,2011,Coupe,Hybrid,CVT,3124.0,15.43,32568.62,2195,,South Asia
VH01245,Audi,A4,2005,SUV,Electric,Manual,,10.5,67645.83,2174,3639.69,Africa
VH03051,Hyundai,Elantra,2015,Sedan,CNG,AMT,2606.0,13.25,23003.37,4110,1176.95,North America
VH02241,Kia,Sportage,2024,Convertible,Electric,AMT,,14.59,42137.35,3038,1111.84,Latin America
VH04138,Ram,Dakota,2016,Van,Hybrid,DCT,3254.0,23.35,24458.35,1994,,Middle East
VH04079,Land Rover,Range Rover,2005,SUV,Petrol,CVT,4423.0,19.04,-53085.21,1139,2923.11,Latin America
VH02441,Jeep,Compass,2024,SUV,CNG,DCT,4647.0,20.18,25728.9,736,897.63,Middle East
VH01913,Toyota,Camry,2006,Convertible,,CVT,3084.0,22.31,27406.02,4758,1506.77,South Asia
VH04293,Mazda,CX-30,2024,Coupe,LPG,AMT,3468.0,17.06,26605.04,2724,575.24,Africa
VH03979,Porsche,911,2014,SUV,Electric,Automatic,0.0,7.43,58731.69,4434,2665.96,Middle East
VH00498,Kia,Telluride,2010,Convertible,Electric,Automatic,0.0,14.22,40238.29,2412,2917.95,Europe
VH02700,Porsche,Macan,2017,SUV,Diesel,AMT,2264.0,15.17,53177.98,2385,1793.8,Middle East
VH04990,Honda,Civic,2007,Convertible,Diesel,AMT,2650.0,22.17,27854.68,4729,1191.17,Europe
VH04518,Ram,ProMaster,2008,Van,LPG,Manual,3209.0,10.12,24043.82,1951,1646.7,Asia Pacific
VH01452,Jeep,Grand Cherokee,2024,SUV,Electric,Manual,0.0,9.02,39592.22,3825,1288.73,South Asia
VH02991,Mercedes-Benz,GLC,2024,Van,LPG,Manual,1912.0,13.59,44293.46,4407,1442.01,Europe
VH02944,Volkswagen,ID.4,2015,Sedan,CNG,Automatic,1261.0,20.36,22852.77,595,908.96,South Asia
VH00928,Volkswagen,Passat,2020,Convertible,Diesel,Automatic,2594.0,19.4,26954.44,3656,945.07,North America
VH01324,Jeep,Grand Cherokee,2015,SUV,Diesel,Manual,3352.0,21.66,17063.81,138,1010.75,Asia Pacific
VH04895,Volvo,XC90,2017,Truck,CNG,AMT,4962.0,14.64,42548.22,511,2048.17,Middle East
VH02100,Mazda,Mazda3,2008,Sedan,Electric,Automatic,0.0,14.83,32633.47,1553,2048.53,North America
VH00732,Tesla,Model X,2023,SUV,Diesel,AMT,3211.0,10.56,45818.74,440,1289.14,Europe
VH00839,Audi,A4,2016,Van,LPG,Automatic,3040.0,11.3,51480.57,4875,2245.44,Middle East
VH02847,Honda,Ridgeline,2024,Convertible,Hybrid,DCT,3439.0,17.86,24258.83,175,629.6,South Asia
VH01993,BMW,3 Series,2019,Convertible,CNG,CVT,3004.0,12.25,31503.18,3172,1123.51,North America
VH02901,Hyundai,Sonata,2015,Hatchback,Diesel,AMT,1448.0,13.07,18832.11,2207,830.25,North America
VH00627,Porsche,Cayenne,2016,Coupe,Petrol,Manual,3337.0,12.62,,3548,,South Asia
VH01542,Hyundai,Sonata,2018,Sedan,Hybrid,Automatic,1798.0,22.0,24145.51,2190,941.53,Latin America
VH02510,Nissan,Rogue,2008,Wagon,LPG,,1568.0,,20908.2,1163,1236.05,Asia Pacific
VH00539,Porsche,Cayenne,2020,Convertible,Diesel,CVT,2402.0,18.93,46761.38,55,,North America
VH03691,Lexus,NX,2022,Hatchback,CNG,Automatic,1876.0,20.97,37251.97,1273,1311.29,Europe
VH02945,Mercedes-Benz,C-Class,2023,Coupe,Diesel,DCT,3244.0,,51939.91,3144,1698.48,Asia Pacific
VH03818,Hyundai,Santa Fe,2010,Van,LPG,Manual,2687.0,15.71,27137.41,4195,1223.06,North America
VH00606,Tesla,Cybertruck,2012,Sedan,Electric,Manual,0.0,14.87,64400.12,2716,2992.0,Asia Pacific
VH03400,Hyundai,Tucson,2015,Truck,Electric,AMT,0.0,6.94,37758.2,2354,1841.08,South Asia
VH02881,Volkswagen,ID.4,2010,Wagon,Electric,Manual,,7.71,31751.84,784,1719.63,Middle East
VH02437,Hyundai,Sonata,2013,Truck,Petrol,DCT,3415.0,18.75,27496.01,3623,,Africa
VH01770,Nissan,Rogue,2012,Wagon,Petrol,CVT,1907.0,16.47,27499.71,1097,1218.83,Latin America
VH00024,Toyota,Prius,2020,SUV,LPG,AMT,4892.0,16.01,27838.44,3946,971.3,Africa
VH02395,Ram,ProMaster,2010,Van,Electric,CVT,0.0,6.8,36860.72,3986,1592.77,Middle East
VH01201,  Tesla  ,Model X,2010,SUV, LPG ,AMT,3944.0,15.74,48200.83,3618,2830.95,Europe
VH00813,Volvo,XC60,2018,Van,,AMT,2399.0,,41660.29,799,1853.24,Africa
VH01174,Mercedes-Benz,E-Class,2014,Van,Electric,DCT,0.0,6.38,59321.62,1784,3025.86,Europe
VH00502,Jeep,Compass,2018,SUV,LPG,AMT,3559.0,9.85,22498.71,3278,648.37,Europe
VH02635,Porsche,Taycan,2022,Convertible,CNG,CVT,1903.0,19.13,42599.33,1658,1762.76,Africa
VH04795,Jeep,Gladiator,2019,SUV,Diesel,DCT,2899.0,14.65,30229.07,856,1271.66,South Asia
VH03143,Chevrolet,Equinox,2022,Sedan,Electric,CVT,0.0,14.6,31625.78,837,1231.47,South Asia
VH00466,Chevrolet,Colorado,2007,Sedan,CNG,DCT,1698.0,20.55,24335.42,1646,1615.66,Asia Pacific
VH01841,Volvo,XC40,2021,Wagon,Petrol,,1647.0,15.12,44873.41,4972,1642.15,Africa
VH03296,Land Rover,Evoque,2023,SUV,LPG,Automatic,3116.0,13.89,50097.76,561,,Middle East
VH03932,Mercedes-Benz,C-Class,2020,SUV,Diesel,DCT,1807.0,14.56,48415.41,893,1558.78,Europe
